product_id,category,brand,model,processor,ram_gb,storage_gb,screen_size_inches,screen_resolution,camera_mp,battery_mah,5g_support,operating_system,price_usd,in_stock,rating,release_date,warranty_years,battery_hours,stylus_support,keyboard_included,graphics,weight_kg
PHN-0001,Smartphone,Xiaomi,Xiaomi Note 12,Snapdragon 8+ Gen 1,8,512,6.1,2532x1170,200MP,4288.0,True,Android 14,1000.69,True,4.1,2025-02-27,1,,,,,
TAB-0002,Tablet,Apple,Apple Air,MediaTek Helio G99,8,256,10.2,2732x2048,,,,Android 13,681.58,True,4.2,2025-02-13,2,9.0,False,False,,
TAB-0003,Tablet,Samsung,Samsung Tab,MediaTek Helio G99,16,128,10.2,2048x1536,,,,Windows 11,814.64,True,4.0,2024-08-05,2,9.0,False,False,,
PHN-0004,Smartphone,Google,Google Plus 14,Google Tensor G3,12,512,6.8,2532x1170,50MP,3895.0,False,Android 13,976.18,True,4.9,2024-12-25,1,,,,,
TAB-0005,Tablet,Lenovo,Lenovo Air,Apple M2,8,64,10.9,2732x2048,,,,Android 13,918.99,True,4.6,2025-02-07,2,13.0,False,True,,
PHN-0006,Smartphone,OnePlus,OnePlus Pro 12,Google Tensor G3,12,256,6.7,3088x1440,200MP,4406.0,False,iOS 17,905.88,True,4.3,2025-05-15,1,,,,,
TAB-0007,Tablet,Microsoft,Microsoft Pro,Snapdragon 8 Gen 2,8,256,12.9,2048x1536,,,,Windows 11,667.57,True,4.2,2025-02-11,1,9.0,True,False,,
TAB-0008,Tablet,Samsung,Samsung Tab,Apple M2,8,256,11.0,2360x1640,,,,iPadOS 17,1051.46,False,4.3,2024-11-15,1,13.0,False,True,,
PHN-0009,Smartphone,OnePlus,OnePlus Pro 13,Apple A16 Bionic,6,128,6.1,2532x1170,50MP,5069.0,True,Android 13,641.33,True,4.7,2024-12-03,2,,,,,
PHN-0010,Smartphone,OnePlus,OnePlus Plus 12,Apple A16 Bionic,8,1000,6.1,2778x1284,48MP,4631.0,True,Android 14,1305.73,True,4.4,2025-03-20,2,,,,,
PHN-0011,Smartphone,OnePlus,OnePlus Max 12,Apple A16 Bionic,12,256,6.4,2532x1170,200MP,5080.0,True,iOS 17,755.56,True,4.6,2025-05-21,1,,,,,
PHN-0012,Smartphone,Google,Google Note 13,Google Tensor G3,6,1000,6.1,3088x1440,200MP,3889.0,True,Android 13,1240.4,True,4.4,2025-07-20,2,,,,,
TAB-0013,Tablet,Lenovo,Lenovo Pro,MediaTek Helio G99,6,512,10.9,2048x1536,,,,iPadOS 17,919.62,True,4.7,2025-05-08,1,8.0,True,False,,
PHN-0014,Smartphone,Xiaomi,Xiaomi Ultra 13,MediaTek Dimensity 9200,8,1000,6.4,3088x1440,108MP,4131.0,True,iOS 17,1294.26,True,4.5,2025-06-13,1,,,,,
LAP-0015,Laptop,Apple,Apple ThinkPad 16,Intel Core i9-13th Gen,4,2000,16.0,1920x1080,,,,Windows 11 Pro,1974.52,False,4.4,2025-09-01,2,18.0,,,Integrated,2.12
PHN-0016,Smartphone,Apple,Apple Max 15,Apple A17 Pro,16,512,6.1,3088x1440,48MP,4350.0,True,Android 14,1440.02,True,4.8,2025-07-27,2,,,,,
LAP-0017,Laptop,Apple,Apple VivoBook 17,Apple M2 Pro,64,2000,16.0,2560x1440,,,,macOS Sonoma,3116.5,True,4.9,2024-09-10,3,19.0,,,Apple GPU,2.29
LAP-0018,Laptop,Acer,Acer Elite 14,AMD Ryzen 9 7000,8,2000,14.0,1920x1080,,,,Linux Ubuntu,1937.76,False,3.6,2025-05-10,1,21.0,,,NVIDIA RTX 3050,1.83
LAP-0019,Laptop,Lenovo,Lenovo ThinkPad 17,Apple M2 Max,32,512,15.6,2560x1440,,,,Windows 11 Pro,1468.83,True,3.7,2024-07-24,2,21.0,,,NVIDIA GTX 1650,1.68
LAP-0020,Laptop,ASUS,ASUS Pro 16,AMD Ryzen 5 7000,16,1000,14.0,1920x1080,,,,Windows 11,1158.1,True,3.7,2024-03-17,1,20.0,,,Apple GPU,2.27
TAB-0021,Tablet,Samsung,Samsung Air,Apple M2,4,512,10.2,2732x2048,,,,Windows 11,1231.28,True,4.6,2025-05-01,1,11.0,True,True,,
TAB-0022,Tablet,Samsung,Samsung Tab,Snapdragon 8 Gen 2,16,64,10.9,2732x2048,,,,iPadOS 17,714.73,True,4.0,2024-12-18,1,10.0,False,True,,
TAB-0023,Tablet,Microsoft,Microsoft Tab,Apple M2,16,64,12.9,2732x2048,,,,Android 13,1145.37,True,4.8,2025-05-10,1,13.0,True,True,,
LAP-0024,Laptop,Apple,Apple ThinkPad 15,Intel Core i9-13th Gen,32,2000,13.3,3840x2160,,,,Linux Ubuntu,2139.81,True,4.9,2024-01-12,2,23.0,,,AMD Radeon,1.26
TAB-0025,Tablet,Apple,Apple Air,Snapdragon 8 Gen 2,4,512,10.2,2048x1536,,,,Windows 11,841.63,False,4.6,2025-08-03,1,10.0,False,False,,
PHN-0026,Smartphone,Google,Google Note 15,Snapdragon 8 Gen 2,6,512,6.7,2532x1170,108MP,5086.0,True,Android 13,1017.95,True,4.6,2024-11-14,2,,,,,
TAB-0027,Tablet,Lenovo,Lenovo Pro,Apple M2,16,512,8.3,2360x1640,,,,Android 13,1472.22,True,4.4,2024-09-18,1,8.0,True,False,,
TAB-0028,Tablet,Samsung,Samsung Pro,MediaTek Helio G99,6,512,11.0,2048x1536,,,,Windows 11,848.14,True,4.5,2024-08-22,2,14.0,False,False,,
PHN-0029,Smartphone,Xiaomi,Xiaomi Plus 15,MediaTek Dimensity 9200,6,256,6.8,2778x1284,48MP,3591.0,False,Android 13,783.21,True,4.8,2024-12-08,2,,,,,
PHN-0030,Smartphone,Samsung,Samsung Max 12,Snapdragon 8 Gen 2,16,128,6.4,2532x1170,48MP,4558.0,True,Android 13,842.84,True,4.3,2024-11-10,1,,,,,
LAP-0031,Laptop,HP,HP VivoBook 15,Apple M2 Pro,64,512,16.0,3840x2160,,,,Windows 11 Pro,2564.94,True,3.8,2024-03-06,3,11.0,,,NVIDIA RTX 4060,1.39
LAP-0032,Laptop,Acer,Acer VivoBook 14,Apple M2 Max,4,1000,16.0,1920x1080,,,,macOS Sonoma,1463.5,True,4.8,2024-07-31,3,21.0,,,NVIDIA RTX 3050,1.7
LAP-0033,Laptop,Apple,Apple Pavilion 13,AMD Ryzen 9 7000,8,256,15.6,3840x2160,,,,Linux Ubuntu,1452.56,False,4.6,2025-02-09,1,10.0,,,Apple GPU,2.41
LAP-0034,Laptop,Dell,Dell Plus 14,Apple M2 Pro,4,2000,16.0,3840x2160,,,,Windows 11,2424.39,True,4.7,2024-02-17,1,16.0,,,AMD Radeon,1.26
TAB-0035,Tablet,Samsung,Samsung Air,MediaTek Helio G99,4,128,10.9,2360x1640,,,,Android 13,464.57,True,4.1,2025-04-12,2,12.0,True,False,,
TAB-0036,Tablet,Amazon,Amazon Tab,MediaTek Helio G99,16,512,11.0,2732x2048,,,,iPadOS 17,1023.73,True,4.1,2025-04-07,2,13.0,True,False,,
LAP-0037,Laptop,Acer,Acer Plus 15,Apple M2 Pro,4,256,16.0,2560x1440,,,,Linux Ubuntu,1665.46,True,4.8,2024-09-26,1,15.0,,,Integrated,1.64
TAB-0038,Tablet,Lenovo,Lenovo Surface,MediaTek Helio G99,8,64,12.9,2732x2048,,,,iPadOS 17,579.92,True,4.4,2025-03-08,2,11.0,True,True,,
PHN-0039,Smartphone,Samsung,Samsung Max 12,Google Tensor G3,8,1000,6.4,2532x1170,48MP,3827.0,True,Android 14,1270.38,True,4.3,2025-01-19,2,,,,,
